Brand,Produk,Jenis_Produk_Final,Tipe_Bahan_Aktif_Final,Masalah Kulit,Untuk Kulit,ingredient_name,function1,function2,warning1,warning2,Level_Utama,Label_Level,Skor_Rekomendasi,Catatan_Rekomendasi
Avoskin,Glow Boost Serum,Serum,Salicylic Acid,Jerawat,Kering,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Somethinc,Miraculous Retinol Ampoule,Serum,Retinol,Kusam,Normal,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Somethinc,Brightening Facial Wash,Cleanser,Niacinamide,Pori besar,Berminyak,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Luminous Whitening Night Cream,Night Cream,Ceramide,Pori besar,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
The Ordinary,Hydra Boost Essence,Essence,Ceramide,Dehidrasi,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Skintific,Green Tea Balancing Toner,Toner,Ceramide,Dehidrasi,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Sensatia Botanicals,Daily Sunscreen SPF 50 PA+++,Sunscreen,Hyaluronic Acid,Dehidrasi,Kering,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Emina,Acne Treatment Serum,Serum,Bakuchiol,Kusam,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Avoskin,Retinol Night Serum,Serum,Retinol,Pori besar,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
The Ordinary,Bakuchiol Night Cream,Night Cream,Bakuchiol,Bekas jerawat,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Skintific,Hydrating Aloe Vera Gel,Gel Moisturizer,Ceramide,Jerawat,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Miraculous Retinol Ampoule,Serum,Retinol,Jerawat,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Bakuchiol Night Cream,Night Cream,Bakuchiol,Iritasi,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,2,Tingkat 2 — Jerawat sedang,-1,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Somethinc,Niacinamide 10% + Zinc 1%,Sunscreen,Niacinamide,Kusam,Berminyak,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Luminous Whitening Night Cream,Night Cream,Salicylic Acid,Iritasi,Sensitif,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Vitamin C Serum,Serum,Vitamin C,Kusam,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Wardah,Luminous Whitening Night Cream,Night Cream,Niacinamide,Flek hitam,Berminyak,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Green Tea Balancing Toner,Toner,Tea Tree,Dehidrasi,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Emina,Tea Tree Spot Gel,Spot Treatment,Tea Tree,Bekas jerawat,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Somethinc,Vitamin C Serum,Serum,Vitamin C,Bekas jerawat,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Jerawat,Kombinasi,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Skintific,Niacinamide 10% + Zinc 1%,Essence,Niacinamide,Kusam,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Brightening Facial Wash,Cleanser,Hyaluronic Acid,Flek hitam,Kering,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Scarlett,Niacinamide 10% + Zinc 1%,Essence,Niacinamide,Kusam,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Retinol Night Serum,Serum,Retinol,Dehidrasi,Sensitif,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Scarlett,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Pori besar,Berminyak,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Dear Me Beauty,Cica Soothing Cream,Essence,Retinol,Kusam,Normal,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Avoskin,Niacinamide 10% + Zinc 1%,Gel,Niacinamide,Kusam,Kombinasi,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Retinol Night Serum,Serum,Retinol,Pori besar,Normal,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
Skintific,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Flek hitam,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Dear Me Beauty,Bakuchiol Night Cream,Night Cream,Bakuchiol,Dehidrasi,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Emina,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Kusam,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Sensatia Botanicals,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Penuaan,Sensitif,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
The Ordinary,Advanced Snail 96 Mucin Essence,Essence,Vitamin C,Flek hitam,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Wardah,Hydrating Aloe Vera Gel,Gel Moisturizer,Retinol,Bekas jerawat,Berminyak,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Luminous Whitening Night Cream,Night Cream,Salicylic Acid,Pori besar,Kering,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Glow Boost Serum,Serum,Salicylic Acid,Bekas jerawat,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Scarlett,Luminous Whitening Night Cream,Night Cream,Ceramide,Jerawat,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Vitamin C Serum,Serum,Vitamin C,Dehidrasi,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Avoskin,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Pori besar,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Luminous Whitening Night Cream,Night Cream,Ceramide,Pori besar,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Luminous Whitening Night Cream,Night Cream,Ceramide,Pori besar,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Scarlett,Advanced Snail 96 Mucin Essence,Essence,Niacinamide,Penuaan,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Dear Me Beauty,Daily Sunscreen SPF 50 PA+++,Sunscreen,Salicylic Acid,Pori besar,Sensitif,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Dear Me Beauty,Advanced Snail 96 Mucin Essence,Essence,Vitamin C,Pori besar,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
The Ordinary,Cica Soothing Cream,Cream,Niacinamide,Penuaan,Normal,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Dear Me Beauty,Luminous Whitening Night Cream,Night Cream,Niacinamide,Pori besar,Sensitif,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Sensatia Botanicals,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Bekas jerawat,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Emina,Exfoliating Toner,Toner,Hyaluronic Acid,Jerawat,Sensitif,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,5,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Skintific,Exfoliating Toner,Toner,Niacinamide,Kusam,Kering,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Hydrating Aloe Vera Gel,Gel Moisturizer,Salicylic Acid,Dehidrasi,Sensitif,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Iritasi,Kering,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
COSRX,Bakuchiol Night Cream,Night Cream,Bakuchiol,Penuaan,Berminyak,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
COSRX,Daily Sunscreen SPF 50 PA+++,Sunscreen,Salicylic Acid,Dehidrasi,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Somethinc,Hydrating Aloe Vera Gel,Gel Moisturizer,Ceramide,Pori besar,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Wardah,Exfoliating Toner,Toner,Ceramide,Pori besar,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
COSRX,Exfoliating Toner,Toner,Salicylic Acid,Bekas jerawat,Berminyak,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
COSRX,Retinol Night Serum,Serum,Retinol,Bekas jerawat,Kombinasi,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Wardah,Hyaluronic B5 Serum,Serum,Hyaluronic Acid,Iritasi,Normal,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Salicylic Acid Daily Gentle Cleanser,Cleanser,Salicylic Acid,Dehidrasi,Kombinasi,Salicylic Acid, Exfoliant ,Tidak Ada,Exfoliating,Irritant,1,Tingkat 1 — Jerawat ringan,2,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Avoskin,Acne Treatment Serum,Serum,Hyaluronic Acid,Penuaan,Berminyak,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Emina,Daily Sunscreen SPF 50 PA+++,Sunscreen,Hyaluronic Acid,Penuaan,Sensitif,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Avoskin,Glow Boost Serum,Serum,Ceramide,Iritasi,Normal,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,1,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Dear Me Beauty,Green Tea Balancing Toner,Toner,Hyaluronic Acid,Pori besar,Kombinasi,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Scarlett,Bakuchiol Night Cream,Night Cream,Bakuchiol,Flek hitam,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
Dear Me Beauty,Vitamin C Serum,Serum,Vitamin C,Dehidrasi,Sensitif,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,3,Tingkat 3 — Jerawat berat,0,Produk dapat membantu mendukung perawatan jerawat berat dengan fokus menjaga skin barrier dan menenangkan kulit.
The Ordinary,Ceramide Barrier Moisturizer,Moisturizer,Ceramide,Penuaan,Kombinasi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,Tidak ditemukan di data referensi,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Scarlett,Advanced Snail 96 Mucin Essence,Essence,Niacinamide,Bekas jerawat,Kombinasi,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
Sensatia Botanicals,Daily Sunscreen SPF 50 PA+++,Sunscreen,Niacinamide,Pori besar,Kering,Niacinamide, Skin Conditioning ,Tidak Ada,Aman,Aman,1,Tingkat 1 — Jerawat ringan,3,"Produk cocok untuk perawatan jerawat ringan karena mendukung basic skincare, soothing, atau hidrasi kulit."
The Ordinary,Miraculous Retinol Ampoule,Serum,Retinol,Iritasi,Berminyak,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
COSRX,Hydra Boost Essence,Essence,Hyaluronic Acid,Flek hitam,Kering,Hyaluronic Acid, Humectant ,Tidak Ada,Aman,Aman,0,Tingkat 0 — Kulit normal atau sangat ringan,2,Produk bersifat umum dan tidak secara khusus ditujukan untuk jerawat.
Somethinc,Retinol Night Serum,Serum,Retinol,Pori besar,Sensitif,Retinol, Skin Conditioning ,Tidak Ada,Irritant,Fotosensitizing,2,Tingkat 2 — Jerawat sedang,2,Produk dapat dipertimbangkan untuk jerawat sedang karena memiliki kandungan atau klaim yang berkaitan dengan acne care.
